"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|Q9JMD0|ZN207_MOUSE",2,2,2,2,2,2,0.982577001533797,0.996533056246266,23.8268723599055,24.6464720166081,23.9558879131218,24.0790864223269,24.4824254542577,23.8872321791811
"sp|Q9JMH6|TRXR1_MOUSE",4,4,4,3,4,2,0.0757678310698962,0.382213431227088,24.2948521697935,23.9822418912976,23.7306229873993,22.8995717653133,23.9774033880968,22.0743177317816
"sp|Q9QUI0|RHOA_MOUSE;sp|Q62159|RHOC_MOUSE;sp|P62746|RHOB_MOUSE",8,8,8,8,8,9,0.897203065726074,0.965882920566552,27.5859258145146,27.3514810508269,27.7292819728391,27.3289109709431,27.565427411242,27.8569344135292
"sp|Q9QUM0|ITA2B_MOUSE",3,2,5,1,4,2,0.364044478005192,0.681084771868278,23.5612800327679,21.9377461876394,24.3823904814033,20.9696498489252,23.7656503926399,22.5821806942567
"sp|Q9QUM9|PSA6_MOUSE",9,9,8,8,8,9,0.0630385014022011,0.361963008051348,27.086644852279,26.8606031372192,26.6947002782338,26.4552899690367,26.2586587610761,26.6293669497146
"sp|Q9QUR6|PPCE_MOUSE",7,5,7,6,6,6,0.034186691450673,0.275487935317213,25.0113691542684,25.2463400838443,25.3550753974595,25.6537631978617,25.5612396142786,25.8825261851608
"sp|Q9QVP9|FAK2_MOUSE",3,2,3,3,1,2,0.590024069377826,0.821418983737175,23.204625207124,23.2868516316488,23.8955846876685,23.7425449042115,23.1974170866505,23.9361212029007
"sp|Q9QXS1|PLEC_MOUSE;sp|Q8R0W0|EPIPL_MOUSE",2,1,2,2,2,2,0.628146628975109,0.834403731026637,23.5360147491472,22.3783655894356,24.2989600105886,22.704497199374,24.0912534821472,24.3662956379717
"sp|Q9QXX4|S2513_MOUSE",1,1,1,1,1,1,0.0332196447698599,0.275487935317213,22.4649311361804,22.3466388059015,22.7983774635745,23.3648141356568,22.8141958424198,23.280848936139
"sp|Q9QY76|VAPB_MOUSE",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,21.4789553793571
"sp|Q9QY81|PO210_MOUSE",12,11,10,12,9,12,0.748542941422514,0.902889162645162,25.6788300283154,25.8515303362399,26.1431358269676,25.5693677281485,25.6063467637517,26.2445265348872
"sp|Q9QYB5|ADDG_MOUSE",4,4,5,5,5,6,0.987902228272419,0.996616620994376,24.590248545557,24.6253349873307,24.4976043146975,24.5954798488522,24.3761813643157,24.7497046491811
"sp|Q9QYC0|ADDA_MOUSE",4,5,5,4,4,6,0.837772824133345,0.938972598751574,24.2496670475601,24.4174538173833,24.7248682294536,24.2703332120431,23.7693253872598,25.6640278963214
"sp|Q9QYJ0|DNJA2_MOUSE",2,3,3,3,2,3,0.263622072959753,0.59378870950682,22.4712718018671,23.4615431197623,22.9113769004053,23.7006108659983,22.7469575742313,23.7952654673905
"sp|Q9QYR9|ACOT2_MOUSE;sp|Q32Q92|ACOT6_MOUSE;sp|O55137|ACOT1_MOUSE;sp|Q8BWN8|ACOT4_MOUSE;sp|Q6Q2Z6|ACOT5_MOUSE;sp|Q9QYR7|ACOT3_MOUSE",3,3,3,1,3,3,0.101366672683573,0.426623181733441,23.9113008486571,24.0991854631933,24.0520998767321,22.0435959557158,23.3273731868563,23.9631177183647
"sp|Q9QZ88|VPS29_MOUSE",2,2,2,2,2,2,0.0661278906983241,0.368876016174299,22.7226065344421,22.3913881349408,22.4107582265359,21.9496286934508,22.3461730692491,21.8290070751589
"sp|Q9QZD9|EIF3I_MOUSE",5,5,5,5,5,5,0.415558262751505,0.720146864239744,24.9323358843766,24.8161004705133,24.6465656631327,24.813958590583,25.1860417300347,24.8784260018518
"sp|Q9QZE5|COPG1_MOUSE;sp|Q9QXK3|COPG2_MOUSE",2,2,1,1,1,2,0.75014468363603,0.903072730251685,23.2970596602019,23.8117674200955,20.7987747360652,22.3656423358055,22.8584193140891,23.4789917885242
"sp|Q9QZM0|UBQL2_MOUSE",1,1,1,1,1,1,0.186392532607584,0.518374887353755,21.9314900110439,22.1362205168042,21.3783426556092,21.1053907466788,18.0814543426218,21.9661599810615
"sp|Q9QZQ8|H2AY_MOUSE;sp|Q8CCK0|H2AW_MOUSE",13,12,11,13,11,13,0.189766273109125,0.519667640206528,29.6756137021092,30.4295384681764,30.0451404081428,29.4901736491255,29.6935716700078,29.8882220890679
"sp|Q9R0N0|GALK1_MOUSE",2,2,2,1,1,3,0.734709878628587,0.896850684651648,22.4048454636332,22.1943007203492,22.046869489414,21.5962109081325,22.0058180056411,23.5875769252057
"sp|Q9R0P3|ESTD_MOUSE",6,6,6,5,5,6,0.070432913693448,0.370292871147832,26.0626799231078,26.1447585398333,26.0983189843041,25.6778982317674,25.7370689265032,25.8782879779301
"sp|Q9R0P5|DEST_MOUSE",3,2,3,3,2,3,0.617019776211238,0.831142314766705,24.6063191151682,24.4191699982783,24.5937439769277,24.7282419849755,24.6984699693126,24.4585036300107
"sp|Q9R0P6|SC11A_MOUSE",2,2,2,2,2,2,0.129135655117896,0.461040189905154,23.8252741906419,23.9764255698297,24.3646107596063,23.6214683032634,23.5811652385387,23.8754555736073
"sp|Q9R0Q7|TEBP_MOUSE",3,3,2,3,3,3,0.503429328901653,0.768439243406598,26.6510148081357,26.1004275103777,25.1720774881538,25.9666116930685,26.4958710670912,26.2974862679474
"sp|Q9R0U0|SRS10_MOUSE",4,4,3,4,4,4,0.642689417155494,0.841684615112719,25.0852811228668,24.7729401113862,24.8355736734831,24.0761077910345,25.1470920838237,25.0108956685973
"sp|Q9R0X4|ACOT9_MOUSE;sp|Q32MW3|ACO10_MOUSE",1,2,1,2,2,2,0.009352358006779,0.181064408589858,20.5403411832887,21.4615669126731,21.0329221804619,22.0904747137901,21.7979398722989,22.1537375678253
"sp|Q9R112|SQOR_MOUSE",2,1,1,0,1,0,0.954056960412994,0.989050817927249,21.6489108153433,NA,21.9641613814762,NA,21.8275530633566,NA
"sp|Q9R190|MTA2_MOUSE",5,5,5,5,5,5,0.469625360224881,0.754063400567271,24.547860297234,25.4249470828696,25.3340444024458,25.2124444447357,24.9240785962898,24.4264367153749
"sp|Q9R1P0|PSA4_MOUSE",6,6,4,5,4,4,0.480070558481744,0.758134240644174,26.760778015158,26.0680746181195,26.0353404041461,26.0745483282522,26.0092910378395,26.2305379594858
"sp|Q9R1P1|PSB3_MOUSE",6,4,5,3,5,5,0.51346846449855,0.773617541433123,26.0375302244349,26.4439633829809,25.3290106094797,25.1532492978339,25.4797786304216,26.3300195681285
"sp|Q9R1P3|PSB2_MOUSE",3,3,3,3,3,3,0.186032560112905,0.518374887353755,25.0254473060028,24.7379092734484,24.5319618173848,24.4427481286095,24.5231849627386,24.4986993146555
"sp|Q9R1P4|PSA1_MOUSE",9,9,8,9,7,9,0.140244755413362,0.472283689851485,27.4126564179048,26.7395045643464,26.6184052227626,26.4149590835883,26.5675063726809,26.5335828404397
"sp|Q9R1T2|SAE1_MOUSE",6,6,5,6,7,5,0.653497679444853,0.843514649123674,25.0031262983329,24.8352331664166,24.4268682660069,24.6662713652101,24.9082207007946,24.3556768250746
"sp|Q9R1T4|SEPT6_MOUSE",5,5,6,6,6,6,0.750967697144506,0.903190878998122,25.385978539703,25.2813019568662,25.6957005521704,25.3493163295649,25.3790723952431,25.4567715227716
"sp|Q9R233|TPSN_MOUSE",4,5,5,6,5,6,0.080136156519799,0.385519888122276,23.8524098887525,24.639180231157,25.0914105611714,25.046946693496,25.0843007215054,26.0938316578786
"sp|Q9WTI7|MYO1C_MOUSE",1,3,1,3,1,3,0.0621804341214615,0.358972196945629,20.4533356763786,22.4977269293256,20.8603352623606,22.9371072153894,22.0947173374507,22.5336310426732
"sp|Q9WTM5|RUVB2_MOUSE",4,4,4,4,4,4,0.37549119173088,0.692452288656394,24.2310527150039,24.5942041989664,24.6227357807235,24.5472787120808,24.9128067204077,24.5639144938003
"sp|Q9WTP6|KAD2_MOUSE",3,4,4,4,4,3,0.202354985750016,0.534856429982704,24.3070015682372,24.3756408568053,24.6225487820141,24.9596740016264,24.5175182368493,24.66058097779
"sp|Q9WTP7|KAD3_MOUSE",2,2,2,1,2,2,0.547027847032459,0.796257824068276,20.2979216708403,22.6407361056979,23.0869717458449,22.0923700091453,22.633416269935,22.6724262643075
"sp|Q9WTX5|SKP1_MOUSE",2,2,2,2,2,2,0.261396370730049,0.59378870950682,23.8453651648104,24.2415676386254,23.1138544561391,24.3016591692733,23.9456583900024,24.1074084636044
"sp|Q9WU78|PDC6I_MOUSE",6,7,5,7,5,7,0.864968411942674,0.947889746069104,24.9208973079873,25.4118620882236,24.8618728015124,24.809019800893,24.6610312101012,25.5648796291836
"sp|Q9WUA2|SYFB_MOUSE",6,6,6,8,7,7,0.280103565737243,0.609924699855037,24.1535982109531,24.9147209203332,24.942212269415,25.1152380507884,24.9643347259391,24.851434215086
"sp|Q9WUA3|PFKAP_MOUSE",2,1,1,4,2,4,0.000257780191721024,0.0535323531473994,21.9947495326989,21.9548510916765,21.8127419356985,23.7265160665487,23.345669219914,24.2081448037839
"sp|Q9WUK2|IF4H_MOUSE",2,2,2,2,2,2,0.790965240353329,0.92172091682455,24.2180318656751,23.6480932281055,23.7798495043286,23.6869493251581,24.0932173544683,24.0529289742385
"sp|Q9WUM3|COR1B_MOUSE",6,5,5,6,5,6,0.240658440992392,0.584088382693754,25.6026934625216,25.1533273484515,25.6195535015436,25.1984010943092,25.2120562687038,25.2248771912513
"sp|Q9WUM4|COR1C_MOUSE",4,5,5,5,5,4,0.845296636431156,0.94164993837088,23.9804857281765,23.4802182794709,23.8756060255857,24.0107694793867,23.849015288744,23.3228361774398
"sp|Q9WUM5|SUCA_MOUSE",5,4,4,3,5,5,0.664083542600557,0.851018234762798,24.5036676089873,24.4538493641515,25.111137966917,24.0023307015132,25.0455691172139,24.5731532484333
