"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q01768",3,3,2,3,3,2,22.0631875196239,21.8409874353888,20.8337437725944,20.7110819047237,20.6754738548142,21.2533084974572,-0.645138691408411,0.00512054073060073,0.0498197213277513
"Q99JR1",2,1,NA,3,1,3,19.9540015769036,19.6546787241378,18.9277477336473,19.6773147407188,19.0872972500649,20.2650989382639,0.215567057214636,0.0851787388378101,0.299384385028461
NA,NA,NA,NA,NA,NA,NA,20.1639605665518,20.1968390101748,19.4063332651721,19.6142187194186,19.3016237963662,20.3046878405129,-8.583083764791e-20,0.999999999518075,1
"O70404",NA,NA,NA,2,2,2,19.8446182734662,19.5751892032255,18.2741259503182,18.8644499945672,18.7144978522147,19.7263673005119,-4.85886878785244e-20,0.999999999774502,1
"Q8VED5",NA,NA,1,1,NA,NA,19.8390558123433,20.0991675349839,19.8249798075858,21.564596283066,18.4877147062028,19.4928007228367,-2.00997642502141e-19,0.999999999741204,1
NA,NA,NA,NA,NA,NA,NA,20.9086947803641,19.9698028894939,19.431491855053,16.3692483754096,17.4757464062583,18.4208301659883,-2.20851824499911,5.52322139044173e-05,0.00154541900473732
"G3X987",4,3,NA,NA,NA,NA,19.9411294535531,19.7883471511205,19.0040100401478,18.8859443663893,18.8029755362274,19.766280808005,-0.251551339005535,0.117391522145099,0.377292121849227
"P0DOV2",NA,1,NA,NA,NA,NA,19.2502441302962,19.56337167199,17.709906806451,16.1411629488715,17.157187464348,16.0542034026375,-2.15509659308788,0.00284916287889076,0.0310363009784512
"Q62186",3,NA,2,4,2,3,19.3665534953661,19.124096931069,18.6099448097631,18.8119096168375,18.9202206953106,19.833443417778,0.184767491888272,0.272316383279734,0.690498197377393
"Q99JT2",NA,NA,NA,NA,NA,2,NA,19.8683659922109,18.8112989212009,19.6139055168081,18.4631011539785,NA,-1.28570275895572e-19,0.999999999629036,1
"Q09014",3,3,NA,2,3,2,19.0849644254872,18.6181374268092,18.3676367050585,19.2696626408589,18.8108753681393,19.6420804565782,0.57520444921304,0.0128487217759561,0.0898780685014185
"Q3UPL0",1,NA,NA,2,NA,3,18.416978955183,18.685611671571,17.2823809560839,17.9020417504801,17.4392596429523,18.5976456320713,1.58331268017128e-12,0.999999832403053,1
"O54879",NA,1,NA,NA,NA,NA,18.5004535919373,18.6358068871024,18.193397451058,17.8245501881487,17.5976153993023,18.7834953196993,-0.0101167690243096,0.834057146665902,1
"P37040",NA,NA,NA,NA,NA,3,18.9509112177765,18.3507747341215,17.9046134146205,17.6263377957365,17.8833028863411,18.451317013195,-0.203720091635861,0.330125506642718,0.785148496631931
"P21981",6,NA,NA,3,3,6,19.1463460362422,18.4542728843359,17.9853036986404,18.7573031619504,17.9917194470051,19.1313039788762,1.30554911857215e-19,0.999999999217807,1
"Q8BL97",7,5,3,4,4,8,22.3947573415603,21.4784090459212,20.803629336798,21.0810697797834,20.8520146195878,21.9442456593108,-0.0594517889256419,0.521753792395144,1
"P50396",4,4,NA,NA,NA,NA,20.3668555645725,19.4917706011041,17.7120674472418,19.01587349425,18.4794756581309,19.2902428351611,-1.54454279203394e-19,0.999999999379347,1
"Q8QZY9",1,NA,NA,1,NA,1,20.9598725205914,20.6054649051704,20.5219127781381,20.449070239484,20.5511033351936,20.8844238072626,3.76404796330945e-20,0.999999999868635,1
NA,NA,NA,NA,NA,NA,NA,19.442225932325,19.180849816857,18.1148858331032,18.5071747949828,17.7917183934818,18.1216495643675,-0.447204228046257,0.0607583608566171,0.246313014040888
"P56812",2,2,NA,2,NA,3,20.1859632152215,19.2400543372971,18.1086212722845,18.7281206674152,18.3529452540616,19.8711081045722,-7.87306381968161e-20,0.999999999738795,1
"Q9DB05",3,3,NA,3,2,3,19.3438069291033,19.2580835057596,18.3752627088758,18.6110364040954,18.5290653856084,19.7593321803661,1.12298519288005e-20,0.999999999917017,1
"O70370",5,NA,NA,NA,NA,NA,19.6243157858964,18.6992115046537,18.1762769368478,17.65139058818,18.0625189774321,19.069205814313,-0.166699338063456,0.169339479534997,0.489641351944344
"O08573",3,1,NA,2,3,3,19.5610098437823,19.1122418275136,18.1650048170335,18.7079509262984,18.2716598430847,19.5525333943559,-2.02673536128063e-20,0.999999999889861,1
"Q3TIX9",4,NA,NA,NA,NA,2,18.9273649477995,18.02697235283,17.9709977003923,18.9296396222265,17.9167077559577,18.8425835418039,1.69174170509329e-19,0.999999999398537,1
"P47740",2,1,NA,NA,NA,2,19.0868017179286,18.8393848414532,17.8725683708875,18.4949855208582,17.9975287083183,19.2857498856229,7.79855597872558e-20,0.999999999514984,1
"Q9CZW5",NA,1,NA,NA,NA,4,23.1709392660305,22.9580113182566,22.2759737450439,22.7867547218031,22.4708889066955,22.852206957791,3.61536053555442e-20,0.999999999830286,1
"Q6ZWQ7",2,3,3,3,NA,3,20.4048373612352,20.0854595654002,19.4750995897475,19.6626441734401,19.1802120229241,20.17973765057,-0.180532744493118,0.068736897441268,0.261101964710473
"Q9QYJ0",4,3,NA,2,2,4,19.5771386521476,19.0604957295821,18.245334542542,19.3204539104647,18.3907561493758,19.708016493514,0.178152594572208,0.166965483057583,0.485254061757985
"P00493",7,6,5,4,2,7,19.9557616789282,19.2409006929283,18.2551631108947,18.8078135420003,18.4879741339824,19.548674375093,-5.03028020534617e-20,0.999999999761376,1
"Q8R1Q8",1,NA,NA,NA,NA,2,18.1162471370239,17.7234347744803,17.195856345388,15.9517320506551,17.2441654796929,18.0186028028382,-9.79265878689745e-20,0.999999999660607,1
"P48025",3,5,NA,6,3,6,18.712566262414,18.9040803978659,17.6214087949468,18.757497740966,18.5098511777042,19.3223287707841,0.490556560990802,0.0179917997098096,0.114107991937326
"P63087",1,1,1,1,1,NA,19.642719087795,19.2921305882981,18.272950826542,18.7414360420506,18.2092919948089,19.4945319501657,-0.103989728315979,0.562135554362624,1
"P63037",NA,NA,NA,3,NA,NA,19.2669677856223,18.1621652504045,17.9976865416198,19.4027932348925,18.6682505288163,18.7789798660897,0.235868137498199,0.316288361806134,0.76111887402589
"P63085",2,2,2,2,NA,2,19.1363480904619,18.6383580164923,17.9986231582603,18.675736142756,18.1450140420392,18.8206249444014,8.97180834442664e-20,0.999999999453545,1
"Q64525",NA,NA,NA,1,NA,NA,NA,NA,15.0723512049179,18.3443608301703,NA,NA,6.3242263906359e-19,0.999999999513578,1
"P10853,Q64478,Q6ZWY9,Q8CGP1",NA,NA,NA,1,NA,1,18.7621066676228,17.9932067068219,17.7847526994378,21.2798176692743,17.3698684025855,19.0373295646049,3.57978845979313e-19,0.999999999400664,1
"Q64475",NA,NA,NA,1,NA,NA,NA,NA,NA,18.9611850852612,NA,14.7806305410664,9.15518954348556e-19,0.999999999559236,1
"O35215",NA,NA,NA,NA,1,NA,18.9337954085302,19.4225097405191,17.8374087049853,18.2049063487332,18.5202211461675,19.0738951470382,2.44871015944691e-20,0.999999999926199,1
"P19157",2,1,2,1,1,1,22.1152069463723,21.0225593538866,20.2929259055333,20.7828809872383,20.3623442916132,21.4631300993318,-1.60568072516829e-19,0.999999999322778,1
"P31786",3,3,NA,2,1,2,20.5089941303707,19.7636772485764,19.0150305205717,19.2464620935565,19.1732560944021,20.1907384742414,-1.53406021747944e-11,0.99999298816739,1
"P0CW02",2,NA,NA,NA,NA,NA,20.7296659975381,19.606700992474,18.8929722747228,18.8248568412823,18.7583576918012,19.538443063409,-0.426796466104425,0.0417668757943727,0.195221536161899
"P21619",8,10,6,5,4,12,20.2561052304328,20.0029005576228,19.2043288245661,19.5669366141369,19.2007756583769,19.8144645550308,-0.122117020216151,0.680866634315299,1
"Q9DCF9",NA,NA,NA,2,NA,1,18.6939507139549,18.7205318975027,18.2534126754363,18.7827824215444,18.5704789222078,19.8297258727887,0.44890574547342,0.0617054551760343,0.247242144507545
"P97425",1,1,1,2,3,4,18.4736406653096,17.8269323676897,17.6919010441934,19.688915452216,19.1343131847912,20.4839753996654,1.77884998461502,1.00184861075844e-08,1.42895653533345e-06
"Q99JI6",2,2,2,1,NA,2,20.3633620498435,19.6793448018338,19.0514743348021,18.9785066514508,18.5998560947632,19.829640752675,-0.386864359309739,0.00574751415236587,0.0546780179695073
"Q9D1L0",NA,2,NA,2,2,2,20.3544151336509,20.1284725034399,19.4287900475334,19.4885736070767,17.8596143933638,20.0576235302612,-0.318761166094339,0.132015779276555,0.411324272986123
"Q8BG81",NA,3,NA,2,2,3,19.231497788771,18.7529631135563,18.259665759217,18.3651353875097,18.3884485034777,18.5780081197674,-1.90888318748178e-19,0.999999999305685,1
"O55013",2,NA,NA,NA,NA,NA,18.7219195164561,18.3316114319823,16.7390929309231,17.9933645350632,17.6479206417695,18.6239742466155,7.13283474835307e-21,0.999999999958652,1
"Q7TN29",NA,NA,NA,NA,1,NA,18.6472694779955,17.5699713184207,16.8388506411185,18.0456686739858,17.7141992617812,18.2804684186433,0.267450874408401,0.182053466878736,0.518543507456999
"P15105",2,NA,NA,NA,NA,NA,19.5238965626254,18.6309479922286,17.4303337936349,18.1793665673078,17.4194006216737,18.962024789164,-2.22224091053576e-19,0.99999999928756,1
"P16675",2,NA,NA,NA,NA,2,19.4840799742614,19.1309214578725,18.3603374432476,17.8329490792138,17.4476573352901,18.8785023427471,-0.933978535917341,0.000439001564700904,0.00745849116157248
"Q9CQE5",1,2,2,1,2,1,19.3784618047524,18.8061293446465,18.2515612996486,18.3241422194673,17.8014045808416,18.5667621388404,-0.471208301315041,0.0150550948852216,0.10086206761132
"Q9DCS9",NA,3,NA,NA,1,NA,18.9821869888837,18.7661463063102,17.7960276649625,18.5096646933671,17.9341419688243,18.354327799299,2.16687752692469e-17,0.999999992372026,1
"Q9ET01",NA,NA,NA,NA,NA,4,18.2288382258988,15.5335339732312,16.3054663478001,15.6175310092118,18.2651115626482,20.4923883501754,0.164646609830517,0.583220421583404,1
"Q60790",NA,1,NA,NA,NA,3,17.2632713495716,17.9457617864521,17.5256707258435,17.8911894816251,17.4526322120129,17.727766495322,-3.46508143539471e-20,0.999999999890279,1
"Q62351",2,2,NA,NA,NA,4,18.9015145472139,18.7642390749321,18.0767649033184,18.8708023064323,16.4550642414727,19.3320256012041,5.06990680717586e-20,0.999999999880124,1
"Q7TNG5",5,NA,NA,NA,NA,NA,18.7793346822659,18.2684391628404,17.1733867722107,17.9150674140622,16.9646006505146,18.2297371908846,-0.0574086947838379,0.522653430599541,1
"Q7TSI3",1,3,NA,NA,NA,NA,18.0963132286991,17.6794130901527,16.7150424321991,17.7074255405422,16.6954877815135,15.6650985788693,-1.29901977130818e-19,0.999999999668151,1
"P40630",2,NA,NA,NA,NA,NA,19.9285875323334,18.9065182051126,18.3833508423409,18.9363282302908,18.2597177249485,19.3930368433544,-1.03555976400093e-19,0.999999999529773,1
"Q9Z277",NA,5,NA,NA,NA,5,18.6520900336159,18.622291086657,17.6161762859374,18.0581683278093,17.9160539873824,18.5860690656335,-3.16453590543818e-20,0.999999999848886,1
"P53986",NA,NA,NA,1,NA,NA,19.2179560254197,18.4775478543277,17.4870887492417,18.3868921058914,17.8889466078862,19.0808124228322,1.13248840177697e-19,0.999999999456985,1
"Q8CIN4",3,2,NA,NA,NA,4,19.4559848425546,19.3224950026838,17.6768763163427,18.4419187062857,17.9174299008623,19.4273625425969,-1.21152179551916e-19,0.999999999585288,1
"Q62446",3,3,2,3,3,4,20.5744871943658,20.2000155299084,19.8811811784075,19.3623637308317,19.4423825414981,19.8686943215886,-0.456885321600049,0.0492579006510776,0.214957260639412
"P43277",2,2,2,2,2,2,22.6178350814649,22.5287384514787,21.585362819184,22.127468845924,21.7780702353928,22.9091487568224,0.0705285911158684,0.506169000660771,1
"Q9ERU3",3,2,NA,NA,1,NA,19.5149479493754,19.0849635202522,18.2844793322554,18.0493799837967,17.7694998264623,18.8613410764568,-0.646119765391356,3.75448507425446e-05,0.00111617712520023
"Q91V61",NA,NA,1,NA,NA,NA,19.7406707817349,18.892892902499,18.7187554441205,18.5439455576075,18.1544618763326,19.5890589476962,-0.0923378414247572,0.546066292504161,1
"Q64433",6,5,4,4,4,4,22.8689981782367,22.2570377065702,21.1650575796352,22.0097851152739,21.5221315804156,22.538431268181,8.70039738450112e-12,0.999996124054153,1
"P18572",2,2,NA,2,1,2,18.756131878325,18.2532131911086,17.4323786094575,18.4075662444431,18.1660254422343,19.1607065238976,0.525455353050564,0.000162888868413873,0.00368956214645391
NA,NA,NA,NA,NA,NA,NA,17.8587585632162,17.8308343089565,16.5265389291894,17.2563390627079,16.9374054339945,17.7683336411873,3.8497095470388e-20,0.999999999808762,1
"Q7TNC4",4,NA,1,2,2,2,20.4260687178079,19.1375982924537,18.8611921169698,19.5797028095361,19.1249888031353,20.3807593280803,4.58282972303813e-12,0.99999806841806,1
"P17665",1,NA,NA,NA,1,NA,19.8879642721639,19.3433728119663,19.0664133131065,19.9695091564864,19.3363756118903,20.5285025492087,0.569623454854951,0.0105911151285274,0.0796740883161063
"O88456",1,1,1,1,1,1,18.7650714124092,18.6950730359868,18.1496873942651,18.7919677074384,18.4364205183353,19.433051042455,0.342419620574788,0.0824894241859189,0.293547152901013
"Q921Z5",1,NA,NA,NA,NA,1,19.7882729445161,17.2362929071238,16.6905481953048,16.0725689359911,17.4360554365978,21.2494193656847,1.77820955424183e-19,0.999999999856445,1
"P54823",NA,1,NA,NA,NA,3,19.7241363775822,19.4469571776245,18.899556523765,19.5201929380874,19.4181400760834,19.8981766169197,0.225115571652881,0.304518995871686,0.744090080665917
"Q9D554",1,NA,NA,2,1,1,20.5039332406771,19.87548019351,19.152377749844,19.4281835883836,19.442338274649,20.0452905062513,-4.24012309483424e-20,0.99999999979907,1
NA,NA,NA,NA,NA,NA,NA,18.2413722983165,17.9248029959697,17.4771429274063,18.2482082881883,17.9150664289648,18.864552500448,0.574091228591012,0.00921414012729088,0.0724856681059923
"Q3TCN2",1,NA,NA,NA,NA,NA,18.8264554833489,18.496984391644,17.3863871586457,17.5466387477689,17.7593372003332,17.9638536177199,-0.233525433799619,0.323528646924965,0.773325593236056
"Q8C0C7",2,NA,NA,NA,NA,NA,19.4024296557621,19.948594337017,17.603088356234,19.2115654948537,19.7048204203554,19.8271435902836,0.22831772301241,0.369186748839617,0.850240944403161
"Q9CSH3",NA,2,NA,NA,NA,NA,18.1872856766791,18.4619753278189,17.5980429844966,17.3461816906779,17.5199255820618,18.1726364068471,-0.071383538727933,0.683475094128363,1
"P50295",1,NA,NA,NA,NA,NA,19.4515165992955,19.0498293689433,17.555416481862,17.6741389621776,17.8612499881104,18.7045829823882,-0.366090051705913,0.128294814124223,0.404483328482322
"Q60648",4,2,NA,2,NA,1,19.9262138367741,19.3933056059743,19.2320335363712,19.1641065353516,18.2910521686544,19.7607966202142,-0.0417808716124382,0.602388856129355,1
NA,NA,NA,NA,NA,NA,NA,18.1243476405822,17.0377113335399,15.0228689824643,16.7431761048177,16.1176481078145,18.5249405158592,2.78410196879079e-19,0.999999999536097,1
"P55264",3,3,NA,3,NA,NA,19.9692446707133,19.6980083190548,18.7442004815261,19.294022016873,18.9238146555987,19.5821638161735,-1.334286175195e-11,0.999992661409232,1
"Q8K4I3",NA,3,NA,NA,NA,NA,17.8167201745636,17.988348330752,16.5711817052816,16.5650257926076,17.2387334510974,18.0858472019379,-2.79625969501094e-20,0.999999999923747,1
"P19437",NA,NA,NA,NA,1,NA,19.5448919115765,19.3997296546905,18.8338857686495,18.2883534393219,19.1621777559787,19.316038463575,-3.26039834744417e-19,0.999999999187964,1
"P49442",NA,1,NA,NA,NA,NA,18.6119755055295,19.0999748026302,17.2994986001271,17.7275542863304,17.5932383120635,18.0161543113434,-2.68128670681102e-19,0.999999999181424,1
"Q99KH8",NA,1,NA,NA,NA,1,19.249753962136,18.9570125169838,17.9686817889549,18.7522929768588,18.6647016672062,19.0867506405563,1.41292642551903e-19,0.999999999362868,1
"P20491",NA,NA,NA,1,NA,NA,18.7606469864412,18.2513380567877,17.4065958146763,18.637884357241,18.006548557019,19.2297752321157,0.600452738377183,0.0043767987994752,0.04398374568205
"Q9Z1Z0",NA,1,NA,NA,NA,2,19.4238985215449,18.7265313560796,17.8231952558398,18.5093446714105,18.1086850203705,19.5304193374406,6.39192317862375e-20,0.999999999691152,1
"P13379",4,3,2,NA,NA,NA,19.8299702340844,19.1412431501236,18.4034395662823,17.2100981397235,16.6573104055975,18.2908796079662,-1.45178025217383,0.000133921845358,0.00323909276823503
"Q8BMS9",2,1,2,3,NA,NA,18.6834194898859,18.460247578616,17.5487195683519,19.0735774850975,18.5322381140798,19.0103042328884,0.544861621603107,0.0650347665550526,0.252873601836676
"Q8BV49",2,2,NA,2,2,2,20.4179548505298,20.1404036727269,19.1279371821678,19.7819440047768,19.1782028658577,20.3468176407281,-4.08582118375043e-20,0.999999999728213,1
"Q9QZE5",1,3,NA,1,NA,NA,19.3257286275087,18.9542587870863,18.2665829401696,19.4618545674285,18.9727094879847,19.8664622075785,0.654503992851178,0.00242614315057221,0.02814720549485
NA,NA,NA,NA,NA,NA,NA,17.5437160910889,17.6237078616955,16.9331486901976,18.1830452620097,17.4071220107928,18.5610586328791,0.640081798811502,0.0110331851803203,0.0824311793315028
"Q6ZQI3",NA,4,3,3,2,2,20.0453380107713,19.7244482466082,18.9199237208708,19.298308426293,19.1905263507896,20.1656958033112,1.88412429729958e-20,0.999999999910868,1
"Q9CQ92",3,4,NA,NA,2,3,19.3974110877791,17.7940293968824,18.635794032973,19.3372226439477,18.9931048773199,19.8862960369178,0.568579127511418,0.0317518422671003,0.16011288594364
"Q8K4G5",3,2,NA,1,NA,2,19.0120670083906,18.7826024185195,17.9178174438821,18.6876754424168,17.8851757571067,18.7453545596588,-5.20417888918469e-11,0.999990790250243,1
"Q9D8Y7",NA,NA,NA,NA,1,NA,18.594837320559,18.7754525716616,18.932810985658,19.0561937056908,18.7603181211087,17.952713942,-2.84452578213747e-20,0.999999999956319,1
"Q9D0J8",2,2,2,2,2,2,20.3753243217769,19.8088007454797,18.7736218845022,19.1443803564296,18.6840084955364,19.6370827332612,-0.338680915083627,0.0635493302645915,0.250510757700475
"Q5SQX6",3,3,NA,2,2,3,18.5714200752254,18.326460729688,17.5895569805243,18.0567369346741,17.8139388767587,18.6499660526815,1.22107278363737e-20,0.999999999877486,1
"Q8VE70",NA,2,1,NA,NA,NA,19.8861860034659,19.9029085638327,17.7721323637584,19.4533876346135,18.753274288599,19.244488414889,1.97548819642836e-10,0.999990267398456,1
NA,NA,NA,NA,NA,NA,NA,18.6905389265748,18.3253583695483,15.8877047211527,18.1286616031775,18.1218816052813,18.5430467804926,1.29210836407982e-19,0.999999999539256,1
"Q8CJF9,Q8CJG0",1,NA,NA,NA,NA,NA,18.0387708457,17.7389000708796,17.489999909251,17.0040709773208,16.4784392970576,17.7363182134221,-0.458872457694798,0.0350774340767602,0.172012022087755
"O88487",2,NA,NA,NA,NA,3,18.7575975697285,18.4576810703495,17.1150406924913,18.2735182665111,15.6225014102988,18.644810904742,-5.00155681813798e-20,0.999999999879627,1
"P62911",3,2,NA,3,NA,4,21.0397812500629,20.611288727386,19.2624690848544,20.5120096945141,19.8588353416942,21.165659939829,0.0409783690623084,0.640301002201914,1
"Q3UUV5",1,NA,NA,NA,NA,NA,18.7420310564401,18.7936626481732,17.9388515027295,17.8047693577281,17.0128905264739,18.3041613107705,-0.690779667228208,0.00623443687306918,0.0581473295285602
"Q8BIJ6",NA,1,NA,NA,NA,NA,17.8945616113553,17.8108246321046,16.7708221851894,16.9566453132142,16.7251331634459,15.5520336667227,-0.0904275598375424,0.542944121007122,1
"P53994",2,1,NA,NA,1,2,20.6703019447494,20.3907339125083,18.9529862741978,20.2915845549504,19.8601008321242,20.6882109151022,0.164647228014456,0.286620117129508,0.716299311985652
"Q9R0N0",2,NA,NA,1,NA,3,18.8884798875654,18.4395266166562,17.4191711326853,18.8899291600815,17.9032983396203,19.2906808666849,0.452757753035008,0.0349856866386109,0.172012022087755
"P70224",1,1,NA,1,NA,2,18.0723415053736,17.5330710397799,17.0699408502828,17.4428512836072,17.33317826835,18.1822846546774,0.0869143813083788,0.463722106088884,0.992101117524493
"P50543",2,3,2,1,3,2,22.9408279109075,21.6634008640622,21.6396271491822,21.779560504083,21.3202817462538,24.5588331645014,2.02752304617757e-20,0.999999999957217,1
"Q3UIA2",2,1,NA,NA,2,2,19.0312488306353,18.3245731512716,17.4441948685629,18.9262125639914,18.1000276854431,18.6588703062395,0.120235855623456,0.418853707113772,0.918132473197161
"Q9CZD3",3,3,2,3,2,3,19.5152773538696,18.939795524392,18.4944395066055,19.0517538739261,18.8366961223799,19.6651982117595,0.228525674185438,0.0613701618518924,0.247242144507545
"O88958,Q9CRC9",1,1,NA,NA,NA,NA,19.238344061144,18.6502142567628,16.8895922306267,16.8633022390119,16.6015699241368,19.3604514899755,-1.73001981528844e-19,0.999999999492003,1
